Residence_ISO3,Residence,Participant Count,Median Hours,Median Streaming Hours,Median Narcissism Score,Median Participant Age,Median GAD Score,Median SWL Score,Median SPIN Score
ALB,Albania,5,20.0,4.0,2.0,22.0,6.0,17.0,4.0
ARE,UAE,10,18.0,15.0,2.0,20.0,4.0,20.0,17.5
ARG,Argentina,92,20.0,10.0,2.0,20.0,4.0,19.0,16.5
AUS,Australia,192,20.0,7.0,2.0,20.0,4.0,19.0,20.0
AUT,Austria,129,20.0,10.0,2.0,20.0,3.0,22.0,16.0
BEL,Belgium,167,20.0,8.0,2.0,21.0,4.0,20.0,19.0
BGD,Bangladesh,1,20.0,4.0,3.0,18.0,6.0,22.0,26.0
BGR,Bulgaria,45,20.0,10.0,2.0,20.0,6.0,15.0,23.0
BHR,Bahrain,2,19.5,5.5,2.5,22.5,5.5,17.5,17.5
BIH,Bosnia and Herzegovina,15,21.0,10.0,2.0,20.0,4.0,15.0,13.0
BLR,Belarus,1,20.0,12.0,5.0,19.0,1.0,29.0,7.0
BLZ,Belize,2,21.0,1.5,1.5,18.0,8.5,12.0,30.5
BOL,Bolivia,1,7.0,6.0,4.0,29.0,7.0,24.0,46.0
BRA,Brazil,224,20.0,10.0,2.0,20.0,5.0,19.0,21.0
BRN,Brunei,1,10.0,2.0,5.0,18.0,0.0,14.0,10.0
CAN,Canada,864,20.0,8.0,2.0,20.0,4.0,19.0,19.0
CHE,Switzerland,85,20.0,8.0,2.0,19.0,4.0,22.0,17.0
CHL,Chile,60,20.0,10.0,2.0,20.5,4.0,23.0,18.5
CHN,China,6,26.5,4.0,1.5,19.5,2.0,22.0,14.0
COL,Colombia,21,14.0,6.0,2.0,21.0,4.0,20.0,13.0
CRI,Costa Rica,8,17.5,12.5,2.5,19.0,2.5,21.5,14.0
CYP,Cyprus,1,39.0,10.0,1.0,18.0,4.0,19.0,19.0
CZE,Czech Republic,63,20.0,10.0,2.0,20.0,5.0,18.0,22.0
DEU,Germany,1231,20.0,10.0,2.0,20.0,4.0,20.0,17.0
DNK,Denmark,211,20.0,8.0,2.0,20.0,3.0,22.0,15.0
DOM,Dominican Republic,7,20.0,10.0,3.0,19.0,5.0,25.0,13.0
DZA,Algeria,2,37.5,5.5,2.5,19.5,4.0,26.5,14.0
ECU,Ecuador,4,25.0,5.0,2.0,21.0,4.0,19.5,21.5
EGY,Egypt,5,20.0,3.0,1.0,21.0,11.0,12.0,25.0
ESP,Spain,182,20.0,7.0,2.0,20.0,5.0,20.0,14.5
EST,Estonia,30,21.0,5.0,2.0,19.5,5.5,19.5,19.0
FIN,Finland,148,20.0,8.0,1.0,20.0,3.0,19.5,15.0
FJI,Fiji,1,35.0,10.0,3.0,19.0,0.0,16.0,11.0
FRA,France,342,20.0,8.0,2.0,21.0,4.0,20.0,17.0
FRO,Faroe Islands,4,32.5,6.5,1.5,19.5,5.0,14.5,32.5
GBR,UK,877,20.0,10.0,2.0,19.0,5.0,18.0,20.0
GEO,Georgia,3,18.0,7.0,1.0,19.0,5.0,21.0,9.0
GIB,Gibraltar ,1,14.0,30.0,1.0,23.0,1.0,30.0,1.0
GLP,Guadeloupe,1,35.0,20.0,4.0,21.0,9.0,8.0,9.0
GRC,Greece,87,20.0,8.0,2.0,21.0,4.0,18.0,17.0
GRD,Grenada,1,10.0,5.0,2.0,21.0,2.0,34.0,11.0
GTM,Guatemala,3,7.0,4.0,2.0,22.0,5.0,23.0,24.0
HKG,Hong Kong,9,20.0,5.0,2.0,19.0,3.0,18.0,19.0
HND,Honduras,3,12.0,8.0,2.0,21.0,5.0,20.0,15.0
HRV,Croatia,63,20.0,7.0,2.0,20.0,5.0,18.0,20.0
HUN,Hungary,54,19.5,6.5,2.0,20.5,4.0,18.0,19.5
IDN,Indonesia,1,25.0,10.0,2.0,24.0,14.0,9.0,26.0
IND,India,15,18.0,10.0,2.0,19.0,6.0,21.0,20.0
IRL,Ireland,58,15.0,10.0,2.0,21.0,3.0,22.0,16.5
ISL,Iceland,14,21.5,14.5,2.0,23.0,4.5,20.0,12.5
ISR,Israel,23,16.0,4.0,1.0,19.0,3.0,20.0,22.0
ITA,Italy,109,20.0,10.0,2.0,20.0,5.0,15.0,19.0
JAM,Jamaica,1,13.0,24.0,1.0,20.0,9.0,20.0,35.0
JOR,Jordan,4,18.5,4.0,2.0,20.0,5.5,15.0,16.0
JPN,Japan,7,24.0,15.0,2.0,26.0,2.0,21.0,7.0
KAZ,Kazakhstan,1,24.0,50.0,5.0,18.0,9.0,25.0,35.0
KOR,South Korea,14,20.0,4.5,2.0,22.0,2.5,22.5,14.0
KWT,Kuwait,3,20.0,15.0,3.0,21.0,4.0,13.0,29.0
LBN,Lebanon,5,20.0,5.0,1.0,19.0,11.0,23.0,15.0
LIE,Liechtenstein,1,15.0,11.0,2.0,18.0,2.0,28.0,11.0
LTU,Lithuania,34,20.0,5.0,2.0,20.0,5.0,16.0,17.0
LUX,Luxembourg,7,20.0,5.0,1.0,21.0,2.0,21.0,18.0
LVA,Latvia,27,25.0,7.0,2.0,19.0,7.0,18.0,17.0
MAR,Morocco,12,21.5,8.5,1.5,20.5,3.5,17.5,17.5
MDA,Moldova,1,21.0,20.0,4.0,18.0,10.0,19.0,22.0
MEX,Mexico,72,17.0,8.0,2.0,21.0,4.0,23.0,15.0
MKD,Macedonia,5,15.0,10.0,1.0,23.0,6.0,20.0,19.0
MLT,Malta,5,20.0,20.0,3.0,20.0,4.0,11.0,12.0
MNE,Montenegro,2,10.5,18.5,2.5,20.0,9.0,17.0,27.5
MNG,Mongolia,2,19.0,6.0,3.0,20.0,6.0,15.0,29.5
MYS,Malaysia,25,15.0,7.0,2.0,20.0,5.0,16.0,19.0
NAM,Namibia,1,20.0,5.0,2.0,18.0,6.0,35.0,0.0
NIC,Nicaragua,1,2.0,2.0,3.0,23.0,6.0,11.0,44.0
NLD,Netherlands,447,20.0,8.0,2.0,20.0,4.0,21.0,15.0
NOR,Norway,162,20.0,6.0,2.0,19.0,3.0,20.0,17.0
NZL,New Zealand ,55,20.0,10.0,2.0,20.0,3.0,19.0,18.0
PAK,Pakistan,4,4.5,3.5,1.5,19.5,3.5,15.0,23.0
PAN,Panama,4,18.5,10.0,2.0,21.5,7.0,17.5,16.5
PER,Peru,16,15.0,6.0,3.0,19.0,7.5,20.5,29.0
PHL,Philippines,20,20.0,9.0,2.0,22.0,6.5,16.5,28.0
POL,Poland,217,20.0,8.0,2.0,21.0,5.0,17.0,20.0
PRI,Puerto Rico,12,15.0,16.0,1.5,20.5,4.5,18.5,16.5
PRT,Portugal,193,20.0,7.0,2.0,20.0,4.0,18.0,21.0
PSE,Palestine,1,7.0,5.0,1.0,18.0,11.0,11.0,10.0
QAT,Qatar,3,30.0,4.0,1.0,18.0,18.0,23.0,29.0
ROU,Romania,77,20.0,7.0,2.0,20.0,5.0,19.0,21.0
RUS,Russia,33,20.0,10.0,2.0,21.0,5.0,18.0,19.0
SAU,Saudi Arabia,7,20.0,8.0,1.0,20.0,7.0,20.0,19.0
SGP,Singapore,31,20.0,3.0,2.0,19.0,4.0,18.0,29.0
SLV,El Salvador,1,25.0,5.0,2.0,18.0,4.0,27.0,12.0
SRB,Serbia,48,21.5,5.0,2.0,20.0,3.5,17.0,11.0
SVK,Slovakia,21,20.0,10.0,2.0,20.0,4.0,16.0,27.0
SVN,Slovenia,61,20.0,6.0,2.0,20.0,5.0,18.0,22.0
SWE,Sweden,310,20.0,8.0,2.0,20.0,3.0,19.0,16.0
SYR,Syria,2,25.0,1.5,1.5,19.0,8.5,17.0,17.0
THA,Thailand,5,16.0,6.0,2.0,19.0,2.0,22.0,16.0
TTO,Trinidad & Tobago,7,24.0,10.0,2.0,19.0,5.0,19.0,22.0
TUN,Tunisia,3,18.0,3.0,2.0,22.0,5.0,25.0,29.0
TUR,Turkey,42,20.0,7.0,2.0,20.0,5.5,18.5,16.0
TWN,Taiwan,2,31.0,6.5,2.0,21.5,4.0,11.0,37.5
UKR,Ukraine,9,12.0,6.0,1.0,22.0,4.0,22.0,14.0
URY,Uruguay,11,21.0,15.0,2.0,20.0,7.0,14.0,16.0
USA,USA,4018,20.0,8.0,2.0,20.0,4.0,21.0,17.0
