S. No.,Timestamp,GADE,Game,Platform,Hours,earnings,whyplay,League,streams,Narcissism,Gender,Age,Work,Degree,Birthplace,Residence,Playstyle,accept,GAD_T,SWL_T,SPIN_T,Residence_ISO3,Birthplace_ISO3
1,42052.00437,Both Singleplayer and Multiplayer,Skyrim,"Console (PS, Xbox, ...)",15,I play for fun,having fun,Unranked,0,1,Male,25,Unemployed / between jobs,Bachelor (or equivalent),USA,USA,Singleplayer,Accept,1,23,5,USA,USA
2,42052.0068,Somewhat difficult,Other,PC,8,I play for fun,having fun,Unranked,2,1,Male,41,Unemployed / between jobs,Bachelor (or equivalent),USA,USA,Multiplayer,Accept,8,16,33,USA,USA
3,42052.0386,Both Singleplayer and Multiplayer,Other,PC,0,I play for fun,having fun,Unranked,0,4,Female,32,Employed,Bachelor (or equivalent),Germany,Germany,Singleplayer,Accept,8,17,31,DEU,DEU
4,42052.06804,Both Singleplayer and Multiplayer,Other,PC,20,I play for fun,improving,Unranked,5,2,Male,28,Employed,Bachelor (or equivalent),USA,USA,Multiplayer,Accept,0,17,11,USA,USA
5,42052.08948,Very difficult,Other,"Console (PS, Xbox, ...)",20,I play for fun,having fun,Unranked,1,1,Male,19,Employed,High school diploma (or equivalent),USA,South Korea,Multiplayer,Accept,14,14,13,KOR,USA
6,42052.13119,Both Singleplayer and Multiplayer,Other,"Console (PS, Xbox, ...)",4,I play for fun,relaxing,Unranked,0,2,Male,24,Employed,Bachelor (or equivalent),USA,USA,Multiplayer,Accept,1,17,13,USA,USA
7,42052.14622,Both Singleplayer and Multiplayer,Other,PC,30,I play for fun,relaxing,Unranked,8,2,Male,29,Employed,High school diploma (or equivalent),USA,USA,Multiplayer,Accept,0,16,26,USA,USA
9,42052.19737,Very difficult,Other,"Console (PS, Xbox, ...)",2,I play for fun,winning,Unranked,0,1,Female,23,Employed,Bachelor (or equivalent),USA,USA,Multiplayer,Accept,12,12,55,USA,USA
10,42052.22995,Somewhat difficult,World of Warcraft,PC,25,I play for fun,improving,Unranked,0,1,Female,27,Employed,High school diploma (or equivalent),Finland,Finland,Multiplayer,Accept,10,13,26,FIN,FIN
11,42052.24204,Somewhat difficult,Other,PC,14,I play for fun,having fun,Unranked,0,1,Female,21,Student at college / university,High school diploma (or equivalent),USA,USA,Singleplayer,Accept,19,27,6,USA,USA
14,42052.30804,Somewhat difficult,Other,"Console (PS, Xbox, ...)",25,I play for fun,relaxing,Unranked,1,1,Male,19,Student at school,High school diploma (or equivalent),USA,USA,Multiplayer,Accept,3,26,29,USA,USA
15,42052.39588,Both Singleplayer and Multiplayer,Other,PC,30,I play for fun,having fun,Unranked,5,1,Male,35,Employed,High school diploma (or equivalent),Canada,Canada,Multiplayer,Accept,2,13,33,CAN,CAN
16,42052.42542,Somewhat difficult,Other,PC,14,I play for fun,having fun,Unranked,0,3,Male,18,Student at college / university,High school diploma (or equivalent),Australia,Australia,Singleplayer,Accept,8,28,30,AUS,AUS
17,42052.46977,Both Singleplayer and Multiplayer,Other,"Console (PS, Xbox, ...)",4,I play for fun,having fun,Unranked,5,1,Female,24,Unemployed / between jobs,Bachelor (or equivalent),UK,UK,Multiplayer,Accept,4,15,36,GBR,GBR
