,S. No.,Timestamp,GADE,Game,Platform,Hours,earnings,League,streams,Narcissism,Gender,Age,Work,Degree,Birthplace,Residence,Playstyle,accept,GAD_T,SWL_T,SPIN_T,Residence_ISO3,Birthplace_ISO3,whyplay
0,1,42052.00437,Not difficult at all,Skyrim,"Console (PS, Xbox, ...)",15.0,I play for fun,,0.0,1.0,Male,25,Unemployed / between jobs,Bachelor (or equivalent),USA,USA,Singleplayer,Accept,1,23,5.0,USA,USA,having fun
1,2,42052.0068,Somewhat difficult,Other,PC,8.0,I play for fun,,2.0,1.0,Male,41,Unemployed / between jobs,Bachelor (or equivalent),USA,USA,Multiplayer - online - with strangers,Accept,8,16,33.0,USA,USA,having fun
2,3,42052.0386,Not difficult at all,Other,PC,0.0,I play for fun,,0.0,4.0,Female,32,Employed,Bachelor (or equivalent),Germany,Germany,Singleplayer,Accept,8,17,31.0,DEU,DEU,having fun
3,4,42052.06804,Not difficult at all,Other,PC,20.0,I play for fun,,5.0,2.0,Male,28,Employed,Bachelor (or equivalent),USA,USA,Multiplayer - online - with online acquaintances or teammates,Accept,0,17,11.0,USA,USA,improving
4,5,42052.08948,Very difficult,Other,"Console (PS, Xbox, ...)",20.0,I play for fun,,1.0,1.0,Male,19,Employed,High school diploma (or equivalent),USA,South Korea,Multiplayer - online - with strangers,Accept,14,14,13.0,KOR,USA,having fun
5,6,42052.13119,Not difficult at all,Other,"Console (PS, Xbox, ...)",4.0,I play for fun,,0.0,2.0,Male,24,Employed,Bachelor (or equivalent),USA,USA,Multiplayer - online - with real life friends,Accept,1,17,13.0,USA,USA,relaxing
6,7,42052.14622,Not difficult at all,Other,PC,30.0,I play for fun,,8.0,2.0,Male,29,Employed,High school diploma (or equivalent),USA,USA,Multiplayer - online - with online acquaintances or teammates,Accept,0,16,26.0,USA,USA,relaxing
7,9,42052.19737,Very difficult,Other,"Console (PS, Xbox, ...)",2.0,I play for fun,,0.0,1.0,Female,23,Employed,Bachelor (or equivalent),USA,USA,Multiplayer - online - with strangers,Accept,12,12,55.0,USA,USA,winning
8,10,42052.22995,Somewhat difficult,World of Warcraft,PC,25.0,I play for fun,,0.0,1.0,Female,27,Employed,High school diploma (or equivalent),Finland,Finland,Multiplayer - online - with online acquaintances or teammates,Accept,10,13,26.0,FIN,FIN,improving
9,11,42052.24204,Somewhat difficult,Other,PC,14.0,I play for fun,,0.0,1.0,Female,21,Student at college / university,High school diploma (or equivalent),USA,USA,Singleplayer,Accept,19,27,6.0,USA,USA,having fun
10,14,42052.30804,Somewhat difficult,Other,"Console (PS, Xbox, ...)",25.0,I play for fun,,1.0,1.0,Male,19,Student at school,High school diploma (or equivalent),USA,USA,Multiplayer - online - with real life friends,Accept,3,26,29.0,USA,USA,relaxing
